,state,rep_votes_share,dem_votes_share,maskActual,predR,predRMask,year,margin,error margin,predMargin,errors
81,New Mexico,0.448449164,0.551550836,0,0.45143214,0,2012,-0.10310167199999998,0.002982974681411732,-0.09713575,-1.0
82,Nevada,0.489250148,0.48504608,0,0.49061635,0,2012,0.004204068000000005,0.001366203366043095,-0.018767327,-1.0
83,New York,0.333173496,0.666826504,0,0.33405757,0,2012,-0.333653008,0.0008840735037841663,-0.33188486,-1.0
84,Ohio,0.520650087,0.479349913,1,0.5223967,1,2012,0.04130017400000002,0.0017465966929320897,0.044793367,1.0
85,Oklahoma,0.646239823,0.309460117,1,0.6469808,1,2012,0.33677970600000007,0.000740999086334182,0.29396164,1.0
86,Oregon,0.420054608,0.579945392,0,0.42067158,0,2012,-0.15989078399999995,0.0006169742219848673,-0.15865684,-1.0
87,Pennsylvania,0.488744205,0.503797138,0,0.4866364,0,2012,-0.015052933000000046,0.002107804777221667,-0.0267272,-1.0
88,Rhode Island,0.378932933,0.544506355,0,0.37789315,0,2012,-0.16557342199999997,0.0010397831472473418,-0.2442137,-1.0
89,South Carolina,0.589620874,0.410379126,1,0.58926326,1,2012,0.17924174799999998,0.0003576136354674908,0.17852652,1.0
90,South Dakota,0.574497342,0.425502658,1,0.5759945,1,2012,0.14899468400000004,0.0014971495771484156,0.15198898,1.0
91,Tennessee,0.610573976,0.355099009,1,0.61178684,1,2012,0.25547496699999994,0.0012128663461914435,0.22357368,1.0
92,Texas,0.599804402,0.399470568,1,0.6014668,1,2012,0.20033383399999993,0.001662372940490764,0.20293355,1.0
93,Utah,0.666411228,0.333588772,1,0.6651674,1,2012,0.332822456,0.0012438366997985506,0.33033478,1.0
94,Virginia,0.505912681,0.486844595,1,0.50368655,1,2012,0.019068085999999984,0.002226133720642065,0.0073730946,1.0
95,Vermont,0.237455396,0.733357943,0,0.23741648,0,2012,-0.495902547,3.8919988723767895e-05,-0.525167,-1.0
96,Washington,0.455561817,0.544438183,0,0.4590423,0,2012,-0.08887636600000004,0.0034804937147216997,-0.08191538,-1.0
97,Wisconsin,0.490845283,0.505906794,0,0.49105403,0,2012,-0.015061511000000027,0.00020874527262876308,-0.017891914,-1.0
98,West Virginia,0.599127783,0.400872217,1,0.5981218,1,2012,0.19825556600000005,0.0010059611196594487,0.19624364,1.0
