State,Total,Nike,Costco,Twitter,Facebook,Sears,Wells Fargo,Comcast,Mcdonalds ,United Airlines,Target,Bank of America,U.S.A.A ,Amazon ,Netflix,Microsoft,UPS ,Hobby Lobby,Wegmans ,Chick fil-A ,JP Morgan Chase,Honda ,Pepsi ,Aldi,American Airlines ,Burger king ,Capital One,Charter,Dicks sporting goods ,Dominos ,EA,Fidelety ,Ford,Forever 21 ,General Mills,GoldmanSachs,Hyundai,Kaiser Permentai,Kraft,L.L Bean,MasterCard,Coors,Nintendo ,Papa Johns,Paypal,Progressive,Publix,Southwest,Spirit Airlines,Subaru,Toyta ,United Healthcare,Volkswagon,Wendys ,Starbucks,Delta,Google,Ebay,State Farm,Verizon,AT&T,Fox,Shell,Ikea,T-mobile,Best buy,Lowes,CVS,Disney,Coca Cola,Kroger,J&J,Adidas,Walgreens,Sony,The Home Depot,Samsung,Nestle,Nordstrom,Kohls,Apple,Allstate,Dell,Dish,Fedex,Gamestop,Goya,Hp,Hulu,LG,MLB,NBA,NFL,REI,Clorox,Hershey
 IDAHO (ID),1608,251,492,29,757,363,227,0,808,103,261,278,77,518,472,0,39,173,0,210,52,95,618,36,84,363,174,0,0,353,0,74,559,50,0,0,57,0,14,0,168,168,0,160,53,228,0,147,0,50,241,164,2,356,239,482,1493,275,312,1031,395,571,634,0,136,264,656,19,36,108,284,52,455,675,800,1109,1545,355,172,840,174,233,385,350,24,101,642,128,459,616,276,57,288,71,2709,2117
 ILLINOIS (IL),9688,2129,1257,1380,5209,1565,449,3225,6077,977,2809,1729,196,3760,3240,70,750,828,54,1549,116,1485,2615,3136,955,3073,1207,522,979,1399,40,347,2018,790,496,21,648,0,799,129,2363,503,324,625,860,339,47,1314,331,193,1526,803,236,2310,2847,833,8870,2850,3267,3187,2858,1750,3995,734,2066,2667,1596,2730,382,1208,3131,868,1847,6042,6289,3240,8338,2394,2135,4887,2870,1312,4031,2020,1269,747,9780,284,2136,2731,7389,581,1836,478,17943,15264
 INDIANA (IN),3947,1229,574,461,2578,537,176,1020,2704,323,1158,573,56,1888,1539,25,175,607,7,902,121,449,1001,1053,417,1514,420,18,522,674,0,186,847,378,383,0,63,0,304,64,799,120,74,901,616,459,0,651,4,101,803,337,33,1443,956,487,3725,1155,1441,1977,1280,848,1203,51,542,834,1220,2001,108,261,1129,329,1036,2019,2713,1005,3459,1194,743,2273,965,732,1491,493,468,281,2464,16,1300,1293,2186,221,974,82,8292,6661
 IOWA (IA),1790,181,95,84,988,30,368,0,1011,162,625,348,72,422,487,0,4,122,17,223,0,180,504,216,66,609,236,0,31,35,1,82,356,26,154,0,50,0,233,78,567,122,0,135,23,224,0,31,14,0,307,178,9,246,676,158,1678,307,401,859,69,344,405,35,33,498,394,182,23,275,190,18,278,601,1193,214,1241,839,110,622,188,102,402,557,47,15,452,52,336,688,772,48,483,16,3244,2675
 KANSAS (KS),1758,413,181,91,713,303,38,14,1039,56,510,249,138,394,400,0,79,272,2,599,0,285,479,229,135,436,126,0,65,140,6,7,610,96,103,0,56,0,96,0,366,19,39,163,149,75,0,170,21,61,533,56,41,621,246,236,1194,180,397,608,444,695,208,63,605,179,755,389,57,152,597,35,212,638,1185,631,2576,530,36,1053,372,95,640,582,139,36,708,46,176,574,911,65,263,82,2941,3756
 KENTUCKY (KY),3732,999,277,599,2330,258,84,74,2664,0,332,73,0,1063,1277,36,35,470,0,1075,0,142,989,363,47,1628,110,80,210,565,19,19,1067,136,253,0,13,0,173,79,366,138,71,583,196,212,34,41,0,303,758,196,159,1759,689,218,3018,830,518,1239,1168,1026,1555,40,90,777,1659,472,71,581,1207,520,551,1275,2014,793,3151,1440,114,1253,490,581,1601,734,139,225,2327,50,812,1290,1069,286,580,0,7427,7525
 LOUISIANA (LA),3090,892,300,249,1749,322,71,0,1457,204,897,384,199,1150,980,0,119,432,19,908,0,578,299,19,292,1248,733,322,196,662,0,113,545,132,244,0,96,0,471,6,720,135,27,312,430,205,19,276,66,0,368,283,2,827,1123,391,2439,906,1296,710,1705,620,1751,99,65,770,1414,956,208,529,1385,197,359,1655,1772,1210,2933,1133,107,482,566,488,1098,420,391,53,2415,95,414,1434,821,125,1174,64,7133,6093
 MAINE (ME),1030,191,0,71,576,127,29,80,756,92,76,189,66,369,191,25,20,188,0,0,0,212,368,0,42,355,59,0,55,31,0,1,169,0,52,0,46,0,67,127,193,37,0,4,81,116,99,75,0,54,157,90,24,250,61,166,1032,277,19,343,167,93,499,0,0,134,474,45,7,0,202,96,0,262,558,682,606,199,19,249,109,5,225,88,17,0,283,23,308,122,379,20,304,0,1652,1320
 MARYLAND (MD),5454,1174,1015,910,3221,1051,601,1907,3125,590,1598,1454,429,2135,1707,10,443,154,811,2030,18,908,1086,934,453,1927,1030,9,430,678,7,219,850,525,415,0,538,270,584,111,1532,210,110,557,499,275,37,1015,43,135,1637,625,243,1216,1287,778,4826,1855,1506,4924,1343,1972,2274,335,1083,1510,2200,2916,206,663,1606,595,1041,1382,3989,2570,4626,1649,1065,2349,1934,697,2483,839,1009,276,5825,219,864,1433,3531,823,1977,81,12291,10655
 MASSACHUSETTS (MA),5009,1243,277,757,3014,1093,184,2238,2278,636,1703,1780,63,2387,1857,107,549,28,383,657,0,1150,634,76,742,1425,788,435,702,473,16,426,735,353,449,18,383,2,543,394,1375,151,110,252,373,57,50,488,179,248,1367,485,84,1620,1140,942,4735,1487,140,4720,920,1444,1556,337,497,1977,1790,3900,120,402,1350,255,944,1695,4191,2695,4804,1685,1049,2437,2194,91,2191,180,850,303,7706,130,660,1258,3240,441,2691,137,9351,8173
 MICHIGAN (MI),6823,1302,1136,776,3959,1038,295,1659,4517,289,1679,817,202,2308,2042,88,453,693,72,482,55,610,1592,1019,311,3054,762,727,644,818,21,368,2153,219,503,79,121,0,580,116,1608,287,109,341,472,426,46,387,366,156,492,339,175,1970,1735,2685,6221,1482,1092,3963,2175,1813,2422,570,516,1935,2361,2264,242,1022,2422,421,1179,2100,4251,2573,6077,2521,862,4262,1830,968,2337,1209,820,369,3499,180,899,2189,3586,454,1626,209,13501,10875
 MINNESOTA (MN),5501,975,686,752,2820,500,2216,1408,2535,350,2891,406,154,2298,2482,0,147,470,5,372,0,839,747,1151,310,1585,648,705,470,728,54,108,1049,81,545,0,237,0,417,151,1472,273,23,226,189,700,1,384,265,129,903,381,205,1128,1045,3229,4755,1219,1887,2929,1159,1653,796,256,1375,1362,609,1201,376,800,1041,408,806,2392,4163,1510,4787,1202,1348,3044,1617,368,2273,1668,616,285,2811,119,1444,1399,2894,365,1772,44,9908,7310
 MISSISSIPPI (MS),1805,393,15,268,714,278,50,163,1039,93,332,99,148,403,416,0,150,273,6,470,42,177,307,46,255,404,173,0,184,538,7,25,544,46,264,0,87,0,272,81,176,95,0,119,27,174,80,105,0,0,307,277,160,770,281,232,1181,474,339,176,1122,721,927,40,90,295,706,274,125,347,648,376,51,650,716,423,1056,354,92,309,631,323,404,315,251,100,1174,48,301,212,594,434,372,46,4559,3060
 MISSOURI (MO),5326,985,546,414,3263,991,249,3,2859,95,1196,702,205,1837,1486,0,229,777,0,1120,44,665,938,1900,254,1479,548,1232,512,935,9,207,1388,319,406,55,205,0,643,62,1255,289,30,266,541,284,25,741,0,52,1074,920,45,1019,1747,599,5119,1248,1342,921,2707,1210,1421,461,1054,1032,2051,895,199,393,1492,502,579,2613,3993,1901,5496,1550,584,1696,917,721,2798,1434,373,236,2576,151,623,1515,3892,75,1477,145,9423,7746
 MONTANA (MT),932,91,596,69,591,0,105,0,480,197,272,54,74,325,597,0,72,83,0,67,0,204,178,0,101,277,135,333,0,43,0,0,398,0,89,0,0,0,155,54,225,4,0,57,10,243,0,0,0,55,378,41,0,233,200,357,1051,460,241,922,248,124,115,0,0,226,424,123,101,192,249,128,37,140,461,380,751,432,0,204,295,25,481,286,59,65,42,11,229,376,393,0,85,91,862,2342
 NEBRASKA (NE),1330,279,109,158,934,232,258,0,849,155,475,165,28,737,591,0,89,127,5,211,0,150,165,195,50,562,142,57,14,164,0,155,332,57,38,0,35,0,82,0,164,9,0,186,176,161,16,186,0,3,198,130,6,371,623,243,1108,383,267,1010,165,565,497,24,0,417,408,216,70,155,253,63,186,647,1010,483,1023,287,320,745,408,128,417,688,136,125,291,152,260,496,653,146,509,0,3350,3751
 NEVADA (NV),1985,416,605,87,1272,356,611,0,731,259,598,458,160,831,784,0,234,162,80,272,122,335,488,80,184,781,254,445,2,350,0,122,576,131,103,42,172,9,498,0,384,249,80,279,326,88,80,409,191,4,479,344,136,411,775,304,1728,916,368,809,445,710,703,255,544,445,1257,799,152,194,1017,195,412,1109,1717,1039,2396,316,135,1166,879,185,388,293,491,180,1878,1,469,889,1026,359,872,141,4503,3850
